                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7031,                 3.7812,                 2.1005,                  0.676,                   0.25,                0.17307,                0.08093,                 2.3373,                 3.4806,                 1.6798,                7.5e-05,                7.5e-05,                7.5e-05
                      2,                 2.2309,                  2.606,                 1.7443,                0.34486,                0.35057,                 0.3036,                0.14843,                 2.3813,                 2.8419,                 1.5826,             0.00016089,             0.00016089,             0.00016089
                      3,                 1.9446,                 2.1472,                 1.5787,                0.60788,                0.33513,                0.48277,                0.25032,                 2.2339,                 5.0513,                 1.5395,             0.00024505,             0.00024505,             0.00024505
                      4,                 1.8171,                 1.8301,                 1.4923,                0.40031,                0.51339,                0.39557,                0.17902,                 2.2016,                 3.0737,                 1.5354,             0.00032748,             0.00032748,             0.00032748
                      5,                 1.7475,                 1.6999,                 1.4872,                0.60256,                0.66071,                0.65422,                0.29595,                 1.9662,                 2.7394,                 1.4533,             0.00040817,             0.00040817,             0.00040817
                      6,                 1.6902,                 1.5643,                 1.4096,                0.57476,                0.67262,                0.62929,                0.33227,                 1.8433,                 2.5868,                 1.4344,             0.00048713,             0.00048713,             0.00048713
                      7,                  1.693,                 1.4886,                 1.4104,                 0.6606,                0.65985,                0.72793,                0.36121,                 1.7947,                 2.5477,                 1.3828,             0.00056436,             0.00056436,             0.00056436
                      8,                 1.6635,                 1.4629,                 1.4368,                0.54466,                0.80655,                0.73389,                0.36643,                 1.8182,                 3.4197,                 1.4044,             0.00063986,             0.00063986,             0.00063986
                      9,                 1.5379,                  1.302,                 1.3724,                0.62929,                0.48661,                0.52478,                0.23479,                 2.0687,                 2.5554,                  1.602,             0.00071362,             0.00071362,             0.00071362
                     10,                 1.5755,                 1.3336,                  1.364,                 0.5126,                0.80202,                 0.7567,                0.35587,                 2.0032,                 1.8509,                 1.6577,             0.00078565,             0.00078565,             0.00078565
                     11,                 1.5773,                 1.2759,                 1.3223,                0.75921,                0.53869,                0.69903,                0.33742,                 2.1043,                 1.8669,                 1.7592,             0.00085595,             0.00085595,             0.00085595
                     12,                 1.5334,                 1.1873,                 1.3256,                 0.5782,                0.52327,                0.64019,                0.31397,                 2.0982,                 2.1158,                 1.7004,             0.00092452,             0.00092452,             0.00092452
                     13,                 1.4775,                 1.2102,                  1.286,                0.48819,                0.63244,                0.65769,                0.32357,                 2.0412,                 2.0089,                 1.6516,             0.00099135,             0.00099135,             0.00099135
                     14,                 1.4992,                 1.1165,                  1.278,                 0.6614,                 0.6337,                0.64163,                0.29902,                  2.087,                 1.5348,                  1.639,              0.0010565,              0.0010565,              0.0010565
                     15,                 1.4403,                 1.1138,                 1.3141,                0.59646,                0.75215,                0.71242,                0.34512,                 2.0172,                 1.4421,                 1.5924,              0.0010768,              0.0010768,              0.0010768
                     16,                 1.4899,                 1.1288,                 1.2901,                0.57493,                0.70341,                0.75846,                0.33202,                 2.1691,                 1.4901,                 1.7088,              0.0010644,              0.0010644,              0.0010644
                     17,                 1.4432,                 1.1354,                 1.2702,                0.43529,                0.80208,                0.64291,                0.30112,                 2.1018,                 1.5141,                 1.6653,               0.001052,               0.001052,               0.001052
                     18,                 1.4041,                 1.0662,                 1.2554,                0.49697,                0.68609,                0.59862,                0.28154,                   2.08,                 1.7553,                 1.6806,              0.0010396,              0.0010396,              0.0010396
                     19,                 1.3909,                 1.0102,                 1.2481,                0.66597,                0.71567,                0.72146,                0.27454,                 2.1307,                 1.5576,                 1.7386,              0.0010273,              0.0010273,              0.0010273
                     20,                 1.3724,                 1.0229,                 1.2514,                0.78701,                0.81499,                 0.8204,                0.37857,                 2.1328,                  1.154,                 1.7737,              0.0010149,              0.0010149,              0.0010149
