                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     15,                  1.532,                 1.2462,                 1.2822,                 0.8195,                      1,                0.93675,                0.34232,                 2.2859,                 2.1184,                 2.1305,             0.00063182,             0.00063182,             0.00063182
                     16,                 1.4687,                  1.187,                 1.2269,                0.72955,                0.86204,                0.92705,                0.33629,                 2.3446,                 3.3492,                 2.1525,             0.00066714,             0.00066714,             0.00066714
                     17,                 1.3148,                 1.0241,                  1.232,                0.65209,                0.97304,                  0.975,                 0.3065,                 2.3611,                 2.2709,                 2.3762,             0.00070147,             0.00070147,             0.00070147
                     18,                 1.5338,                 1.2093,                 1.2886,                0.43131,                      1,                0.91167,                0.31921,                 2.4084,                  1.685,                 2.4785,             0.00073482,             0.00073482,             0.00073482
                     19,                 1.5745,                   1.16,                 1.3275,                0.55668,                      1,                0.98357,                0.30354,                 2.3737,                 2.0139,                 2.5308,             0.00076717,             0.00076717,             0.00076717
                     20,                   1.43,                 1.1159,                 1.3803,                0.47378,                      1,                0.80538,                0.28785,                 2.3187,                 2.5441,                 2.3852,             0.00079853,             0.00079853,             0.00079853
                     21,                 1.2934,                0.98937,                  1.215,                0.63426,                0.95528,                0.84779,                0.22557,                 2.4162,                 2.9752,                 2.3932,              0.0008289,              0.0008289,              0.0008289
                     22,                 1.3544,                 1.0338,                 1.2266,                0.70436,                      1,                0.98357,                0.32139,                 2.3141,                 2.2224,                 2.3187,             0.00085828,             0.00085828,             0.00085828
                     23,                 1.5795,                 1.0523,                 1.4472,                0.70422,                      1,                  0.995,                0.35978,                 2.2533,                 2.1359,                 2.1437,             0.00088667,             0.00088667,             0.00088667
                     24,                 1.4006,                0.94635,                 1.1475,                0.58794,                      1,                0.98357,                0.36923,                 2.2679,                 3.9298,                 2.0282,             0.00091407,             0.00091407,             0.00091407
                     25,                 1.4796,                 1.0189,                 1.1627,                0.70382,                 0.9308,                  0.995,                0.31448,                 2.4061,                 3.5254,                 2.1336,             0.00094048,             0.00094048,             0.00094048
                     26,                 1.5332,                0.98804,                 1.2614,                0.84222,                0.91667,                0.87565,                0.29229,                 2.3717,                 1.9896,                 2.1381,              0.0009659,              0.0009659,              0.0009659
                     27,                  1.326,                0.94622,                 1.1534,                0.83171,                0.88425,                0.84845,                0.37959,                 2.1465,                 1.7083,                 2.0371,             0.00099033,             0.00099033,             0.00099033
                     28,                 1.2572,                 0.9374,                 1.1406,                0.80976,                0.91667,                0.85342,                 0.4447,                 2.0969,                 2.2644,                 2.0547,              0.0010138,              0.0010138,              0.0010138
                     29,                 1.3729,                0.98942,                 1.1448,                0.80976,                0.91667,                0.85342,                 0.4447,                 2.0969,                 2.2644,                 2.0547,              0.0010362,              0.0010362,              0.0010362
                     30,                 1.2951,                 1.0926,                 1.1991,                 0.5843,                0.91667,                0.75817,                0.44089,                 1.9948,                   2.27,                  2.064,              0.0010577,              0.0010577,              0.0010577
                     31,                 1.2723,                0.88845,                  1.142,                0.74195,                0.99558,                   0.87,                0.39872,                 2.0679,                 1.9021,                 2.2148,              0.0010781,              0.0010781,              0.0010781
                     32,                 1.4236,                 0.9538,                 1.2341,                0.72383,                0.93616,                0.90024,                0.37298,                 2.0756,                 1.8113,                 2.1784,              0.0010976,              0.0010976,              0.0010976
                     33,                 1.3103,                0.83372,                 1.1056,                0.72383,                0.93616,                0.90024,                0.37298,                 2.0756,                 1.8113,                 2.1784,              0.0011161,              0.0011161,              0.0011161
                     34,                 1.3111,                0.81983,                 1.1937,                0.96854,                0.98952,                  0.995,                0.35584,                 2.1748,                 1.7758,                 2.3048,              0.0011224,              0.0011224,              0.0011224
                     35,                 1.4226,                0.94617,                 1.1695,                0.80299,                   0.75,                0.77441,                0.33567,                 2.2136,                  1.867,                 2.3534,              0.0011059,              0.0011059,              0.0011059
                     36,                 1.2772,                0.82224,                 1.1675,                0.71948,                   0.75,                0.77698,                0.32859,                 2.0985,                 1.7406,                 2.2324,              0.0010894,              0.0010894,              0.0010894
                     37,                 1.3159,                0.88335,                 1.1214,                0.71948,                   0.75,                0.77698,                0.32859,                 2.0985,                 1.7406,                 2.2324,              0.0010729,              0.0010729,              0.0010729
                     38,                 1.4299,                0.90325,                 1.1292,                 0.2821,                0.66667,                0.30309,                0.14329,                 1.9788,                 2.2276,                 2.0811,              0.0010564,              0.0010564,              0.0010564
                     39,                 1.1057,                0.83454,                 1.1052,                0.71023,                0.95559,                0.77836,                0.34013,                 2.0188,                 2.1963,                 2.1876,              0.0010399,              0.0010399,              0.0010399
                     40,                  1.169,                0.76298,                 1.2058,                0.66951,                 0.9911,                0.74625,                0.27429,                 2.1265,                 2.7953,                 2.2325,              0.0010234,              0.0010234,              0.0010234
                     41,                 1.3802,                 0.8653,                 1.1443,                0.66951,                 0.9911,                0.74625,                0.27429,                 2.1265,                 2.7953,                 2.2325,              0.0010069,              0.0010069,              0.0010069
                     42,                 1.2961,                0.82164,                 1.2202,                 0.7519,                0.99571,                0.82917,                0.25473,                  2.219,                  1.817,                 2.3318,             0.00099036,             0.00099036,             0.00099036
                     43,                 1.3883,                0.87658,                   1.21,                 0.9117,                      1,                  0.995,                0.34436,                 2.0819,                  1.013,                 2.2242,             0.00097386,             0.00097386,             0.00097386
                     44,                 1.2308,                 0.8153,                 1.1415,                0.98196,                0.93327,                  0.995,                0.51583,                 1.9711,                0.89834,                 2.1723,             0.00095736,             0.00095736,             0.00095736
                     45,                 1.2228,                0.77219,                 1.0889,                0.98196,                0.93327,                  0.995,                0.51583,                 1.9711,                0.89834,                 2.1723,             0.00094085,             0.00094085,             0.00094085
                     46,                 1.2129,                0.79893,                 1.1176,                0.96742,                0.92836,                  0.995,                0.52581,                 1.9588,                0.95212,                 2.1204,             0.00092435,             0.00092435,             0.00092435
                     47,                 1.1927,                0.72359,                 1.1632,                0.91467,                0.97229,                  0.995,                0.51616,                 1.9367,                 1.0522,                 2.0773,             0.00090785,             0.00090785,             0.00090785
                     48,                 1.2989,                0.87392,                 1.1619,                0.93596,                0.84766,                  0.995,                0.48119,                 1.9672,                 1.0516,                  2.132,             0.00089134,             0.00089134,             0.00089134
                     49,                 1.2471,                0.74051,                 1.1515,                0.93596,                0.84766,                  0.995,                0.48119,                 1.9672,                 1.0516,                  2.132,             0.00087484,             0.00087484,             0.00087484
                     50,                 1.2058,                0.76371,                 1.1741,                0.84028,                0.77477,                  0.995,                0.48258,                 2.0271,                 1.1608,                 2.1711,             0.00085834,             0.00085834,             0.00085834
                     51,                 1.1101,                0.73421,                 1.1092,                0.87054,                0.78683,                  0.995,                0.43706,                 2.0099,                 1.1065,                 2.1272,             0.00084184,             0.00084184,             0.00084184
                     52,                 1.1369,                 0.7233,                 1.0822,                0.93279,                      1,                  0.995,                0.39279,                 2.0158,                  1.059,                 2.1099,             0.00082533,             0.00082533,             0.00082533
                     53,                 1.1871,                0.71273,                 1.0916,                0.93279,                      1,                  0.995,                0.39279,                 2.0158,                  1.059,                 2.1099,             0.00080883,             0.00080883,             0.00080883
                     54,                 1.4126,                0.93202,                 1.2245,                0.86344,                      1,                  0.995,                0.38255,                 2.0333,                  1.165,                 2.1104,             0.00079233,             0.00079233,             0.00079233
                     55,                  1.159,                0.70727,                 1.1481,                0.79427,                      1,                  0.995,                0.41113,                 1.9974,                 1.0675,                 2.0609,             0.00077582,             0.00077582,             0.00077582
                     56,                 1.0156,                0.64928,                 1.0931,                0.69141,                      1,                  0.995,                0.41355,                 2.0143,                 1.0473,                 2.0521,             0.00075932,             0.00075932,             0.00075932
                     57,                 1.1477,                0.85624,                 1.1712,                0.69141,                      1,                  0.995,                0.41355,                 2.0143,                 1.0473,                 2.0521,             0.00074282,             0.00074282,             0.00074282
                     58,                 1.0312,                0.69462,                 1.0627,                0.73469,                      1,                  0.995,                0.42867,                 2.0376,                 1.0509,                  2.028,             0.00072631,             0.00072631,             0.00072631
                     59,                  1.038,                0.73755,                 1.1418,                0.88648,                      1,                  0.995,                0.39011,                 2.0614,                 1.0588,                 2.0323,             0.00070981,             0.00070981,             0.00070981
                     60,                 1.2175,                0.68678,                 1.0885,                0.83924,                      1,                  0.975,                0.37958,                 2.1096,                 1.1629,                 2.0603,             0.00069331,             0.00069331,             0.00069331
                     61,                 1.1346,                0.71816,                  1.037,                0.83924,                      1,                  0.975,                0.37958,                 2.1096,                 1.1629,                 2.0603,              0.0006768,              0.0006768,              0.0006768
                     62,                  1.212,                0.71275,                 1.1067,                0.81912,                      1,                  0.975,                0.37517,                 2.1467,                 1.2189,                 2.0968,              0.0006603,              0.0006603,              0.0006603
                     63,                0.98407,                0.60684,                 1.0521,                0.81989,                      1,                  0.975,                0.40329,                 2.1169,                 1.2385,                  2.096,              0.0006438,              0.0006438,              0.0006438
                     64,                 1.0091,                0.66599,                 1.0472,                0.83299,                      1,                0.96083,                0.43193,                   2.07,                 1.1393,                 2.0544,             0.00062729,             0.00062729,             0.00062729
                     65,                0.94939,                0.68538,                 1.0267,                0.83299,                      1,                0.96083,                0.43193,                   2.07,                 1.1393,                 2.0544,             0.00061079,             0.00061079,             0.00061079
                     66,                 1.0779,                0.71662,                 1.0548,                0.83326,                      1,                0.96083,                 0.4819,                 2.0187,                 1.2271,                 2.0057,             0.00059429,             0.00059429,             0.00059429
                     67,                 1.1085,                0.68079,                 1.0333,                0.85559,                0.90033,                0.90153,                0.49748,                 2.0004,                 1.2225,                 1.9975,             0.00057778,             0.00057778,             0.00057778
                     68,                0.89441,                0.62751,                 1.0422,                0.81816,                0.83333,                0.88394,                0.45122,                  2.041,                 1.2524,                 2.0308,             0.00056128,             0.00056128,             0.00056128
                     69,                 1.0534,                0.65746,                 1.0097,                0.81816,                0.83333,                0.88394,                0.45122,                  2.041,                 1.2524,                 2.0308,             0.00054478,             0.00054478,             0.00054478
                     70,                 1.1634,                0.67733,                 1.1155,                0.80358,                0.83333,                0.89166,                0.47177,                 2.0259,                 1.2607,                 2.0327,             0.00052827,             0.00052827,             0.00052827
                     71,                 1.1741,                0.63287,                 1.1556,                0.83952,                0.83333,                 0.9019,                0.47607,                 1.9893,                 1.1359,                  1.977,             0.00051177,             0.00051177,             0.00051177
                     72,                 1.0388,                0.68333,                 1.0568,                0.76866,                      1,                0.98357,                0.50968,                 1.9692,                  1.123,                 1.9566,             0.00049527,             0.00049527,             0.00049527
                     73,                 1.0252,                0.59847,                 1.0666,                0.76866,                      1,                0.98357,                0.50968,                 1.9692,                  1.123,                 1.9566,             0.00047876,             0.00047876,             0.00047876
                     74,                0.89038,                0.60037,                0.98122,                0.75866,                      1,                0.98357,                0.52552,                 1.9277,                 1.0876,                 1.9187,             0.00046226,             0.00046226,             0.00046226
                     75,                0.88044,                0.58455,                0.96059,                0.75136,                      1,                0.97143,                0.49921,                 1.8886,                 1.0604,                  1.854,             0.00044576,             0.00044576,             0.00044576
                     76,                 1.0159,                0.63202,                 1.0151,                0.79408,                0.97901,                0.97143,                0.52258,                 1.8697,                 1.0336,                 1.8162,             0.00042925,             0.00042925,             0.00042925
                     77,                 1.0463,                0.66983,                 1.1435,                0.79408,                0.97901,                0.97143,                0.52258,                 1.8697,                 1.0336,                 1.8162,             0.00041275,             0.00041275,             0.00041275
                     78,                0.98545,                0.65422,                 1.0096,                 0.8394,                0.98387,                0.97143,                0.52624,                 1.8436,                 1.0009,                 1.7943,             0.00039625,             0.00039625,             0.00039625
                     79,                0.90669,                0.57202,                0.99019,                0.84564,                0.99707,                0.97143,                 0.5269,                 1.8218,                 0.9372,                 1.7992,             0.00037974,             0.00037974,             0.00037974
                     80,                0.97205,                0.56559,                 1.0508,                0.89524,                      1,                0.98357,                0.53216,                  1.857,                 0.9406,                 1.8316,             0.00036324,             0.00036324,             0.00036324
                     81,                0.99639,                0.58479,                0.99606,                0.89524,                      1,                0.98357,                0.53216,                  1.857,                 0.9406,                 1.8316,             0.00034674,             0.00034674,             0.00034674
                     82,                0.96952,                 0.5982,                 1.0457,                0.96603,                0.97647,                  0.995,                0.47284,                 1.8905,                0.94323,                 1.8552,             0.00033023,             0.00033023,             0.00033023
                     83,                0.94437,                0.55761,                 1.0159,                0.93936,                      1,                  0.995,                0.45699,                 1.9115,                0.94554,                  1.895,             0.00031373,             0.00031373,             0.00031373
                     84,                 1.0794,                0.64538,                  1.093,                0.95289,                      1,                  0.995,                0.48586,                 1.9284,                 0.9113,                 1.9246,             0.00029723,             0.00029723,             0.00029723
                     85,                 0.9595,                0.53333,                 1.0499,                0.95289,                      1,                  0.995,                0.48586,                 1.9284,                 0.9113,                 1.9246,             0.00028072,             0.00028072,             0.00028072
                     86,                0.99791,                0.59848,                 1.0892,                0.95972,                      1,                  0.995,                0.47935,                 1.9428,                0.89334,                 1.9537,             0.00026422,             0.00026422,             0.00026422
                     87,                0.89666,                0.58005,                  1.049,                0.96127,                      1,                  0.995,                0.43992,                 1.9571,                0.86449,                 1.9803,             0.00024772,             0.00024772,             0.00024772
                     88,                 0.8111,                0.54553,                0.98347,                0.96533,                      1,                  0.995,                0.44634,                  1.975,                0.83937,                 2.0133,             0.00023121,             0.00023121,             0.00023121
                     89,                 0.9086,                0.53772,                 1.0263,                0.96533,                      1,                  0.995,                0.44634,                  1.975,                0.83937,                 2.0133,             0.00021471,             0.00021471,             0.00021471
                     90,                0.89787,                 0.5666,                 1.0007,                 0.9696,                      1,                  0.995,                0.45935,                 1.9956,                0.80109,                 2.0468,             0.00019821,             0.00019821,             0.00019821
                     91,                0.89911,                0.56222,                 1.0558,                0.97071,                      1,                  0.995,                0.46872,                 2.0187,                0.80639,                 2.0828,              0.0001817,              0.0001817,              0.0001817
                     92,                0.81528,                0.57219,                 1.0606,                0.97128,                      1,                  0.995,                0.46364,                 2.0516,                0.82246,                 2.1284,              0.0001652,              0.0001652,              0.0001652
                     93,                0.83924,                0.50856,                 1.0377,                0.97128,                      1,                  0.995,                0.46364,                 2.0516,                0.82246,                 2.1284,              0.0001487,              0.0001487,              0.0001487
                     94,                0.82491,                0.47629,                 1.0666,                0.97011,                      1,                  0.995,                 0.4577,                 2.0874,                0.83263,                 2.1748,             0.00013219,             0.00013219,             0.00013219
                     95,                0.76666,                0.50053,                 1.0414,                0.96489,                      1,                  0.995,                0.44708,                 2.1191,                0.85083,                 2.2002,             0.00011569,             0.00011569,             0.00011569
                     96,                0.74907,                0.48058,                 1.0085,                0.96209,                      1,                  0.995,                0.44609,                 2.1367,                0.86853,                 2.2044,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.87109,                0.53619,                 1.0386,                0.96209,                      1,                  0.995,                0.44609,                 2.1367,                0.86853,                 2.2044,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.69973,                 0.4659,                0.94567,                0.95964,                      1,                  0.995,                0.45441,                 2.1461,                0.87138,                 2.2135,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.75996,                0.47743,                0.99401,                0.95728,                      1,                  0.995,                0.45524,                  2.154,                 0.8721,                 2.2196,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.75545,                0.53937,                0.99972,                0.95477,                      1,                  0.995,                0.45515,                 2.1562,                 0.8735,                 2.2369,             3.3173e-05,             3.3173e-05,             3.3173e-05
