                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   3.47,                  5.424,                 2.5055,                0.00172,                0.41667,                0.00518,                0.00155,                  3.157,                   4.82,                  2.355,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 3.3623,                 5.0188,                 2.3398,                0.00522,                0.41667,                  0.011,                0.00268,                 3.1545,                 3.7922,                  2.353,             8.2525e-05,             8.2525e-05,             8.2525e-05
                      3,                  2.684,                 3.5401,                 2.1061,                0.18886,                0.08333,                0.08741,                0.00988,                 3.1326,                 3.9108,                 2.3937,             0.00013072,             0.00013072,             0.00013072
                      4,                 2.6176,                 2.8643,                 2.0681,                0.64387,                0.16667,                0.13899,                0.03037,                 2.8683,                 12.701,                 2.2381,             0.00017792,             0.00017792,             0.00017792
                      5,                  2.278,                 2.5295,                  1.723,                0.20929,                0.16667,                0.16084,                0.02823,                 2.8881,                  8.685,                  2.134,             0.00022414,             0.00022414,             0.00022414
                      6,                  2.279,                 2.0902,                  1.701,                0.29801,                    0.5,                 0.3375,                0.04916,                 2.5889,                 5.9965,                 1.9592,             0.00026936,             0.00026936,             0.00026936
                      7,                 1.9452,                 2.2584,                 1.5285,                0.61147,                0.74703,                0.79005,                0.20354,                 2.4484,                 4.6223,                 1.7814,              0.0003136,              0.0003136,              0.0003136
                      8,                 2.0158,                 1.7802,                 1.4523,                0.76616,                0.78822,                0.80106,                0.25091,                 2.4515,                 2.9422,                 1.8071,             0.00035684,             0.00035684,             0.00035684
                      9,                 1.9265,                 1.7064,                 1.5046,                0.60746,                0.83333,                 0.7726,                0.28442,                 2.5953,                 2.7214,                 2.0895,             0.00039909,             0.00039909,             0.00039909
                     10,                 1.7273,                 1.5829,                 1.4094,                0.70895,                0.84987,                0.85341,                0.21337,                 2.5695,                 3.7988,                 2.2496,             0.00044036,             0.00044036,             0.00044036
                     11,                 1.8485,                 1.3919,                 1.3961,                0.45164,                0.93607,                0.70925,                0.25646,                 2.2233,                 3.6803,                 2.0162,             0.00048063,             0.00048063,             0.00048063
                     12,                 1.7057,                 1.3929,                 1.3951,                0.54653,                      1,                0.67425,                0.29548,                 2.2358,                  2.607,                 1.9757,             0.00051991,             0.00051991,             0.00051991
                     13,                 1.6643,                 1.2442,                 1.2775,                0.50867,                   0.75,                   0.85,                 0.3895,                 2.0971,                 3.6747,                  1.869,              0.0005582,              0.0005582,              0.0005582
                     14,                 1.4278,                 1.1652,                 1.3209,                0.58108,                   0.75,                0.71044,                0.32057,                 2.1873,                 2.1771,                 1.9224,             0.00059551,             0.00059551,             0.00059551
