                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.7031,                 3.7812,                 2.1005,                  0.676,                   0.25,                0.17307,                0.08093,                 2.3374,                 3.4806,                 1.6798,                7.5e-05,                7.5e-05,                7.5e-05
                      2,                 2.2316,                 2.6071,                  1.745,                0.34361,                0.38245,                0.32929,                0.16304,                  2.368,                 2.8498,                 1.5822,             0.00015714,             0.00015714,             0.00015714
                      3,                  1.956,                 2.1523,                  1.583,                0.63336,                0.36756,                0.48903,                0.23669,                 2.2636,                 4.7961,                 1.5521,              0.0002335,              0.0002335,              0.0002335
                      4,                 1.8315,                 1.8335,                 1.5113,                0.23225,                0.62798,                0.43005,                0.21084,                 2.1264,                 2.7698,                 1.5407,             0.00030409,             0.00030409,             0.00030409
                      5,                 1.7581,                 1.7504,                 1.5006,                0.34161,                0.73797,                0.60644,                0.27669,                 2.0259,                 2.4776,                 1.5012,              0.0003689,              0.0003689,              0.0003689
                      6,                 1.6839,                 1.5946,                 1.4078,                0.57045,                0.64624,                0.55942,                0.28769,                 1.9194,                 2.0502,                 1.4641,             0.00042794,             0.00042794,             0.00042794
                      7,                 1.7259,                  1.554,                 1.4405,                0.80405,                0.50418,                0.73081,                0.37612,                 2.0175,                 2.0612,                  1.566,              0.0004812,              0.0004812,              0.0004812
                      8,                 1.6416,                 1.5018,                 1.4287,                0.78642,                0.50298,                0.61867,                 0.3606,                 1.8879,                 2.5288,                 1.5301,             0.00052869,             0.00052869,             0.00052869
                      9,                 1.5296,                 1.3267,                 1.3724,                0.71246,                0.55357,                0.70268,                0.31716,                 1.9231,                 2.2762,                 1.5912,              0.0005704,              0.0005704,              0.0005704
                     10,                 1.5536,                  1.336,                 1.3662,                0.72074,                0.62642,                0.68076,                0.32449,                 2.0333,                 1.8112,                 1.6828,             0.00060634,             0.00060634,             0.00060634
                     11,                 1.5665,                 1.2417,                 1.3267,                0.57229,                0.73789,                0.73732,                0.33901,                 2.1269,                 1.7484,                 1.7788,              0.0006365,              0.0006365,              0.0006365
                     12,                 1.4832,                 1.1934,                 1.3037,                0.79115,                0.52992,                0.74078,                0.31625,                 2.2695,                 1.8157,                 1.8654,             0.00066089,             0.00066089,             0.00066089
                     13,                 1.4523,                 1.1774,                  1.289,                0.59728,                0.70691,                0.79757,                0.33167,                 2.2175,                 1.4801,                 1.8367,              0.0006795,              0.0006795,              0.0006795
                     14,                 1.3858,                 1.0748,                 1.2527,                0.57578,                0.78801,                0.75937,                0.30823,                 2.2853,                 1.4274,                 1.8284,             0.00069234,             0.00069234,             0.00069234
                     15,                 1.3588,                 1.0399,                 1.2857,                0.71838,                0.77751,                0.75651,                0.31857,                  2.259,                 1.4619,                 1.7716,              0.0006725,              0.0006725,              0.0006725
                     16,                 1.4114,                 1.0797,                 1.2569,                0.80397,                 0.6649,                0.75256,                0.35861,                  2.111,                 1.3086,                 1.7188,             0.00063125,             0.00063125,             0.00063125
                     17,                 1.4249,                 1.0607,                 1.2569,                0.82858,                0.66703,                0.79712,                0.38792,                 2.1061,                 1.2642,                 1.7315,                0.00059,                0.00059,                0.00059
                     18,                 1.3552,                0.99202,                 1.2467,                0.65289,                0.81149,                0.82646,                0.34667,                 2.1232,                 1.2214,                  1.693,             0.00054875,             0.00054875,             0.00054875
                     19,                 1.3603,                0.97111,                 1.2387,                0.83417,                0.63421,                0.74757,                0.32743,                 2.1107,                  1.301,                 1.7077,              0.0005075,              0.0005075,              0.0005075
                     20,                 1.3193,                0.95691,                 1.2309,                0.85375,                0.81101,                0.85973,                0.37934,                 2.1097,                 1.1619,                 1.7112,             0.00046625,             0.00046625,             0.00046625
                     21,                 1.2738,                0.93788,                 1.2282,                0.80906,                0.80695,                0.88533,                0.39631,                 2.0661,                 1.1793,                 1.7008,               0.000425,               0.000425,               0.000425
                     22,                 1.2495,                0.89824,                 1.2213,                0.82536,                0.78846,                0.86474,                0.42434,                 2.0485,                 1.1339,                 1.6816,             0.00038375,             0.00038375,             0.00038375
                     23,                 1.2584,                0.86309,                 1.2313,                0.89273,                0.72246,                0.85902,                0.40262,                 1.9903,                 1.1956,                 1.6437,              0.0003425,              0.0003425,              0.0003425
                     24,                 1.1907,                0.82938,                 1.1995,                0.80403,                0.86898,                0.86859,                0.40433,                 1.9844,                 1.1229,                 1.6348,             0.00030125,             0.00030125,             0.00030125
                     25,                  1.138,                0.78879,                 1.1745,                0.81677,                0.82897,                0.85079,                 0.4015,                 1.9941,                 1.1126,                 1.6453,                0.00026,                0.00026,                0.00026
                     26,                 1.1321,                0.75332,                 1.1559,                0.81158,                0.88214,                0.87101,                0.43395,                 1.9731,                 1.0966,                 1.6312,             0.00021875,             0.00021875,             0.00021875
                     27,                 1.1502,                0.74094,                 1.1525,                0.76954,                0.88292,                0.89061,                0.43887,                  1.927,                 1.0758,                 1.6073,              0.0001775,              0.0001775,              0.0001775
                     28,                 1.0584,                0.71192,                 1.1354,                0.79949,                0.89178,                0.92807,                0.44832,                 1.9221,                 1.0698,                  1.623,             0.00013625,             0.00013625,             0.00013625
                     29,                 1.0851,                0.72866,                 1.1499,                0.80049,                0.88385,                0.93919,                0.45095,                 1.9136,                 1.0562,                 1.6208,                9.5e-05,                9.5e-05,                9.5e-05
                     30,                 1.0784,                0.70071,                 1.1087,                0.81346,                0.88636,                0.93973,                0.46171,                 1.9119,                 1.0456,                  1.614,              5.375e-05,              5.375e-05,              5.375e-05
