                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   3.47,                  5.424,                 2.5055,                0.00172,                0.41667,                0.00518,                0.00155,                  3.157,                   4.82,                  2.355,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 3.3623,                 5.0188,                 2.3398,                0.00522,                0.41667,                  0.011,                0.00268,                 3.1545,                 3.7922,                  2.353,             8.2525e-05,             8.2525e-05,             8.2525e-05
                      3,                  2.684,                 3.5401,                 2.1061,                0.18886,                0.08333,                0.08741,                0.00988,                 3.1326,                 3.9108,                 2.3937,             0.00013072,             0.00013072,             0.00013072
                      4,                 2.6176,                 2.8643,                 2.0681,                0.64387,                0.16667,                0.13899,                0.03037,                 2.8683,                 12.701,                 2.2381,             0.00017792,             0.00017792,             0.00017792
                      5,                  2.278,                 2.5295,                  1.723,                0.20929,                0.16667,                0.16084,                0.02823,                 2.8881,                  8.685,                  2.134,             0.00022414,             0.00022414,             0.00022414
                      6,                  2.279,                 2.0902,                  1.701,                0.29801,                    0.5,                 0.3375,                0.04916,                 2.5889,                 5.9965,                 1.9592,             0.00026936,             0.00026936,             0.00026936
                      7,                 1.9452,                 2.2584,                 1.5285,                0.61147,                0.74703,                0.79005,                0.20354,                 2.4484,                 4.6223,                 1.7814,              0.0003136,              0.0003136,              0.0003136
                      8,                 2.0158,                 1.7802,                 1.4523,                0.76616,                0.78822,                0.80106,                0.25091,                 2.4515,                 2.9422,                 1.8071,             0.00035684,             0.00035684,             0.00035684
                      9,                 1.9265,                 1.7064,                 1.5046,                0.60746,                0.83333,                 0.7726,                0.28442,                 2.5953,                 2.7214,                 2.0895,             0.00039909,             0.00039909,             0.00039909
                     10,                 1.7273,                 1.5829,                 1.4094,                0.70895,                0.84987,                0.85341,                0.21337,                 2.5695,                 3.7988,                 2.2496,             0.00044036,             0.00044036,             0.00044036
                     11,                 1.8485,                 1.3919,                 1.3961,                0.45164,                0.93607,                0.70925,                0.25646,                 2.2233,                 3.6803,                 2.0162,             0.00048063,             0.00048063,             0.00048063
                     12,                 1.7057,                 1.3929,                 1.3951,                0.54653,                      1,                0.67425,                0.29548,                 2.2358,                  2.607,                 1.9757,             0.00051991,             0.00051991,             0.00051991
                     13,                 1.6643,                 1.2442,                 1.2775,                0.50867,                   0.75,                   0.85,                 0.3895,                 2.0971,                 3.6747,                  1.869,              0.0005582,              0.0005582,              0.0005582
                     14,                 1.4278,                 1.1652,                 1.3209,                0.58108,                   0.75,                0.71044,                0.32057,                 2.1873,                 2.1771,                 1.9224,             0.00059551,             0.00059551,             0.00059551
                     15,                  1.532,                 1.2462,                 1.2822,                 0.8195,                      1,                0.93675,                0.34232,                 2.2859,                 2.1184,                 2.1305,             0.00063182,             0.00063182,             0.00063182
                     16,                 1.4687,                  1.187,                 1.2269,                0.72955,                0.86204,                0.92705,                0.33629,                 2.3446,                 3.3492,                 2.1525,             0.00066714,             0.00066714,             0.00066714
                     17,                 1.3148,                 1.0241,                  1.232,                0.65209,                0.97304,                  0.975,                 0.3065,                 2.3611,                 2.2709,                 2.3762,             0.00070147,             0.00070147,             0.00070147
                     18,                 1.5338,                 1.2093,                 1.2886,                0.43131,                      1,                0.91167,                0.31921,                 2.4084,                  1.685,                 2.4785,             0.00073482,             0.00073482,             0.00073482
                     19,                 1.5745,                   1.16,                 1.3275,                0.55668,                      1,                0.98357,                0.30354,                 2.3737,                 2.0139,                 2.5308,             0.00076717,             0.00076717,             0.00076717
                     20,                   1.43,                 1.1159,                 1.3803,                0.47378,                      1,                0.80538,                0.28785,                 2.3187,                 2.5441,                 2.3852,             0.00079853,             0.00079853,             0.00079853
                     21,                 1.2934,                0.98937,                  1.215,                0.63426,                0.95528,                0.84779,                0.22557,                 2.4162,                 2.9752,                 2.3932,              0.0008289,              0.0008289,              0.0008289
                     22,                 1.3544,                 1.0338,                 1.2266,                0.70436,                      1,                0.98357,                0.32139,                 2.3141,                 2.2224,                 2.3187,             0.00085828,             0.00085828,             0.00085828
                     23,                 1.5795,                 1.0523,                 1.4472,                0.70422,                      1,                  0.995,                0.35978,                 2.2533,                 2.1359,                 2.1437,             0.00088667,             0.00088667,             0.00088667
                     24,                 1.4006,                0.94635,                 1.1475,                0.58794,                      1,                0.98357,                0.36923,                 2.2679,                 3.9298,                 2.0282,             0.00091407,             0.00091407,             0.00091407
                     25,                 1.4796,                 1.0189,                 1.1627,                0.70382,                 0.9308,                  0.995,                0.31448,                 2.4061,                 3.5254,                 2.1336,             0.00094048,             0.00094048,             0.00094048
                     26,                 1.5332,                0.98804,                 1.2614,                0.84222,                0.91667,                0.87565,                0.29229,                 2.3717,                 1.9896,                 2.1381,              0.0009659,              0.0009659,              0.0009659
