                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   3.47,                  5.424,                 2.5055,                0.00172,                0.41667,                0.00518,                0.00155,                  3.157,                   4.82,                  2.355,              3.334e-05,              3.334e-05,              3.334e-05
                      2,                 3.3663,                 5.0251,                 2.3417,                0.00474,                0.33333,                0.01087,                0.00262,                 3.1555,                 3.7949,                 2.3514,             8.0599e-05,             8.0599e-05,             8.0599e-05
                      3,                 2.6877,                 3.5751,                 2.1112,                0.18817,                0.08333,                0.08771,                0.01144,                 3.1353,                 3.8248,                 2.3958,             0.00012456,             0.00012456,             0.00012456
                      4,                 2.6744,                 2.8944,                  2.102,                 0.1539,                0.58333,                 0.1781,                0.03523,                 2.8697,                 11.669,                  2.259,             0.00016522,             0.00016522,             0.00016522
                      5,                 2.2932,                 2.5135,                 1.7361,                 0.1705,                0.21827,                0.14754,                 0.0339,                 2.8715,                 10.063,                 2.1432,             0.00020257,             0.00020257,             0.00020257
                      6,                 2.3366,                 2.0907,                  1.703,                0.67709,                   0.25,                0.16475,                0.03154,                 2.7536,                 7.7316,                 2.0023,             0.00023663,             0.00023663,             0.00023663
                      7,                 1.9553,                 2.2499,                 1.5319,                0.53502,                0.83333,                 0.6995,                0.11578,                 2.5376,                 6.2847,                  1.825,             0.00026739,             0.00026739,             0.00026739
                      8,                  1.968,                 1.7343,                  1.445,                0.63992,                0.80772,                0.76772,                0.20743,                 2.4447,                 4.4059,                 1.8251,             0.00029484,             0.00029484,             0.00029484
                      9,                 1.9617,                 1.7999,                 1.5443,                0.71149,                   0.75,                0.79985,                0.33071,                 2.4239,                 3.6065,                 1.9588,               0.000319,               0.000319,               0.000319
                     10,                 1.8368,                 1.6329,                 1.4642,                0.74388,                0.91667,                0.85925,                0.40521,                 2.3819,                 4.2366,                 2.1104,             0.00033985,             0.00033985,             0.00033985
                     11,                  1.811,                 1.3684,                 1.4045,                0.60601,                0.97223,                0.79604,                0.32758,                 2.3696,                 3.6054,                 2.0739,              0.0003574,              0.0003574,              0.0003574
                     12,                 1.8342,                 1.5137,                 1.4354,                0.75926,                0.89786,                0.82295,                0.30279,                 2.3021,                 2.2318,                 2.0423,             0.00037166,             0.00037166,             0.00037166
                     13,                 1.7441,                 1.2773,                 1.3307,                0.61505,                   0.75,                0.75037,                0.35037,                 2.1219,                 2.9103,                 2.0412,             0.00038261,             0.00038261,             0.00038261
                     14,                 1.6133,                 1.2746,                 1.4467,                0.52467,                0.91667,                0.77171,                0.33659,                 2.0673,                 2.6268,                 1.9786,             0.00039026,             0.00039026,             0.00039026
                     15,                 1.4727,                 1.2021,                 1.2769,                0.76395,                   0.75,                  0.845,                0.40345,                 1.9929,                 1.4529,                 1.8384,             0.00039461,             0.00039461,             0.00039461
                     16,                  1.522,                 1.2398,                 1.2359,                 0.8943,                   0.75,                0.91167,                0.42366,                 2.0837,                  1.268,                 1.8601,             0.00039566,             0.00039566,             0.00039566
                     17,                 1.3489,                 1.0402,                 1.2588,                0.55291,                      1,                0.90024,                0.44684,                 2.0596,                 2.3296,                 1.8672,             0.00039341,             0.00039341,             0.00039341
                     18,                  1.453,                 1.1587,                  1.275,                0.73923,                   0.75,                0.84643,                0.39666,                  2.123,                 2.2262,                 1.9019,             0.00038786,             0.00038786,             0.00038786
                     19,                 1.4735,                  1.033,                 1.2538,                0.84592,                   0.75,                0.85857,                0.37038,                 2.2256,                 1.7808,                 1.9595,             0.00037901,             0.00037901,             0.00037901
                     20,                 1.3424,                 1.0402,                 1.2974,                 0.5989,                0.91909,                   0.85,                0.39042,                 2.2912,                 1.5061,                 2.0701,             0.00036686,             0.00036686,             0.00036686
                     21,                 1.3847,                 1.0473,                 1.3002,                0.81342,                0.66667,                   0.85,                0.36039,                 2.3228,                 1.3247,                 2.0745,              0.0003514,              0.0003514,              0.0003514
                     22,                 1.1839,                0.89037,                 1.2298,                0.92544,                0.66667,                0.85857,                0.38984,                 2.2353,                 1.3519,                 2.0247,             0.00033265,             0.00033265,             0.00033265
                     23,                 1.1585,                0.85748,                  1.145,                0.94591,                   0.75,                   0.87,                0.42754,                 2.0914,                 1.4139,                 2.0225,              0.0003106,              0.0003106,              0.0003106
                     24,                 1.3149,                0.80401,                 1.2669,                0.70046,                      1,                0.91167,                0.46705,                 1.9891,                 1.2084,                  1.949,             0.00028524,             0.00028524,             0.00028524
                     25,                 1.3103,                0.90513,                 1.2974,                0.99471,                0.94368,                  0.995,                0.55024,                 1.9279,                 1.1058,                 1.9425,             0.00025658,             0.00025658,             0.00025658
                     26,                 1.1509,                 0.7352,                 1.1549,                      1,                0.81473,                  0.995,                0.53223,                 1.9236,                 1.1119,                 1.9223,             0.00022463,             0.00022463,             0.00022463
                     27,                 1.1916,                0.81651,                 1.2537,                0.93458,                0.83975,                  0.995,                0.54912,                 1.9308,                 1.0801,                 1.8898,             0.00018937,             0.00018937,             0.00018937
                     28,                 1.1493,                0.83413,                 1.1393,                 0.8289,                0.91486,                  0.995,                0.48322,                 1.9379,                 1.0648,                 1.8745,             0.00015081,             0.00015081,             0.00015081
                     29,                 1.1766,                0.72053,                 1.2355,                 0.8289,                0.91486,                  0.995,                0.48322,                 1.9379,                 1.0648,                 1.8745,             0.00010896,             0.00010896,             0.00010896
                     30,                 1.0569,                0.70227,                 1.1123,                0.97989,                0.99209,                  0.995,                0.50943,                 1.9536,                   1.06,                 1.8717,             6.3796e-05,             6.3796e-05,             6.3796e-05
